 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 2600 ns
Time to marshall string: 0 s 1300 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 1100 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 800 ns
Time to marshall string: 0 s 1100 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
Time to marshall string: 0 s 900 ns
