 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 1922 ns
Time to marshall string: 0 s 1919 ns
Time to marshall string: 0 s 2012 ns
Time to marshall string: 0 s 1986 ns
Time to marshall string: 0 s 1963 ns
Time to marshall string: 0 s 1966 ns
Time to marshall string: 0 s 1887 ns
Time to marshall string: 0 s 2205 ns
Time to marshall string: 0 s 1907 ns
Time to marshall string: 0 s 1825 ns
Time to marshall string: 0 s 1831 ns
Time to marshall string: 0 s 1820 ns
Time to marshall string: 0 s 1984 ns
Time to marshall string: 0 s 1806 ns
Time to marshall string: 0 s 1923 ns
Time to marshall string: 0 s 1912 ns
Time to marshall string: 0 s 1942 ns
Time to marshall string: 0 s 1976 ns
Time to marshall string: 0 s 1901 ns
Time to marshall string: 0 s 1941 ns
Time to marshall string: 0 s 1911 ns
Time to marshall string: 0 s 1862 ns
Time to marshall string: 0 s 1933 ns
Time to marshall string: 0 s 1902 ns
Time to marshall string: 0 s 1874 ns
Time to marshall string: 0 s 1924 ns
Time to marshall string: 0 s 1961 ns
Time to marshall string: 0 s 1858 ns
Time to marshall string: 0 s 1884 ns
Time to marshall string: 0 s 1832 ns
Time to marshall string: 0 s 1952 ns
Time to marshall string: 0 s 1884 ns
Time to marshall string: 0 s 1824 ns
Time to marshall string: 0 s 1902 ns
Time to marshall string: 0 s 1858 ns
 *** TESTING STRING OF LEN = 2048 *** 
Time to marshall string: 0 s 3158 ns
Time to marshall string: 0 s 2514 ns
Time to marshall string: 0 s 2348 ns
Time to marshall string: 0 s 2344 ns
Time to marshall string: 0 s 2368 ns
Time to marshall string: 0 s 2307 ns
Time to marshall string: 0 s 2421 ns
Time to marshall string: 0 s 2367 ns
Time to marshall string: 0 s 2392 ns
Time to marshall string: 0 s 2451 ns
Time to marshall string: 0 s 2474 ns
Time to marshall string: 0 s 2452 ns
Time to marshall string: 0 s 2208 ns
Time to marshall string: 0 s 2347 ns
Time to marshall string: 0 s 2323 ns
Time to marshall string: 0 s 2317 ns
Time to marshall string: 0 s 2206 ns
Time to marshall string: 0 s 2348 ns
Time to marshall string: 0 s 2238 ns
Time to marshall string: 0 s 2357 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2484 ns
Time to marshall string: 0 s 2350 ns
Time to marshall string: 0 s 2406 ns
Time to marshall string: 0 s 2309 ns
Time to marshall string: 0 s 2492 ns
Time to marshall string: 0 s 2417 ns
Time to marshall string: 0 s 2467 ns
Time to marshall string: 0 s 2324 ns
Time to marshall string: 0 s 2483 ns
Time to marshall string: 0 s 2422 ns
Time to marshall string: 0 s 2406 ns
Time to marshall string: 0 s 2483 ns
Time to marshall string: 0 s 2460 ns
Time to marshall string: 0 s 2409 ns
Time to marshall string: 0 s 2484 ns
Time to marshall string: 0 s 2435 ns
Time to marshall string: 0 s 2491 ns
Time to marshall string: 0 s 2606 ns
Time to marshall string: 0 s 2683 ns
Time to marshall string: 0 s 2584 ns
Time to marshall string: 0 s 2583 ns
Time to marshall string: 0 s 2488 ns
Time to marshall string: 0 s 2484 ns
Time to marshall string: 0 s 2469 ns
Time to marshall string: 0 s 2423 ns
Time to marshall string: 0 s 2252 ns
Time to marshall string: 0 s 2649 ns
Time to marshall string: 0 s 2315 ns
Time to marshall string: 0 s 2299 ns
Time to marshall string: 0 s 2378 ns
Time to marshall string: 0 s 2233 ns
Time to marshall string: 0 s 2212 ns
Time to marshall string: 0 s 2246 ns
Time to marshall string: 0 s 2300 ns
Time to marshall string: 0 s 2272 ns
Time to marshall string: 0 s 2297 ns
Time to marshall string: 0 s 2236 ns
Time to marshall string: 0 s 2334 ns
Time to marshall string: 0 s 2249 ns
Time to marshall string: 0 s 2240 ns
Time to marshall string: 0 s 2677 ns
Time to marshall string: 0 s 2617 ns
Time to marshall string: 0 s 2481 ns
Time to marshall string: 0 s 2418 ns
Time to marshall string: 0 s 2327 ns
Time to marshall string: 0 s 2226 ns
Time to marshall string: 0 s 2311 ns
Time to marshall string: 0 s 2395 ns
Time to marshall string: 0 s 2381 ns
Time to marshall string: 0 s 2447 ns
Time to marshall string: 0 s 2387 ns
Time to marshall string: 0 s 2382 ns
Time to marshall string: 0 s 2386 ns
Time to marshall string: 0 s 2378 ns
Time to marshall string: 0 s 2266 ns
Time to marshall string: 0 s 2420 ns
Time to marshall string: 0 s 2378 ns
Time to marshall string: 0 s 2370 ns
Time to marshall string: 0 s 2334 ns
Time to marshall string: 0 s 2356 ns
Time to marshall string: 0 s 2362 ns
Time to marshall string: 0 s 2390 ns
Time to marshall string: 0 s 2304 ns
Time to marshall string: 0 s 2281 ns
Time to marshall string: 0 s 2291 ns
Time to marshall string: 0 s 2438 ns
Time to marshall string: 0 s 2367 ns
Time to marshall string: 0 s 2349 ns
Time to marshall string: 0 s 2390 ns
Time to marshall string: 0 s 2505 ns
Time to marshall string: 0 s 2348 ns
Time to marshall string: 0 s 2389 ns
Time to marshall string: 0 s 2319 ns
Time to marshall string: 0 s 2224 ns
Time to marshall string: 0 s 2195 ns
Time to marshall string: 0 s 2317 ns
Time to marshall string: 0 s 2292 ns
Time to marshall string: 0 s 2342 ns
Time to marshall string: 0 s 2340 ns
