Packet Number	RTT time (usec)
0	130.454
1	68.255
2	1023907.031
3	60.338
4	1023875.875
5	2047887.145
6	45.532
7	27.33
8	1023949.643
9	66.591
10	103.089
11	89.77
12	34.803
13	26.801
14	1023605.16
15	3071991.32
16	110.41
17	124.237
18	125.876
19	2047611.003
20	146.794
21	134.023
22	133.267
23	133.976
24	156.272
25	1023179.643
26	3071975.495
27	4095998.58
28	240.983
29	2047668.048
30	252.735
31	232.734
32	2047375.904
33	252.875
34	229.817
35	1023384.657
36	232.944
37	221.378
38	252.218
39	1023169.422
40	173.107
41	171.513
42	2047467.95
43	2047805.381
44	97.948
45	84.25
46	58.367
47	1023756.437
48	118.102
49	2047832.463
50	2047999.617
51	1024021.689
52	1023816.122
53	188.219
54	3071750.266
55	2047926.521
56	3071893.602
57	1023716.801
58	73.151
59	3071835.066
60	3071933.911
61	33.763
62	2047972.393
63	1023958.981
64	32.065
65	30.549
66	59.246
67	121.19
68	118.915
69	1023802.121
70	184.648
71	2047594.841
72	126.117
73	122.334
74	117.593
75	117.49
76	117.407
77	63.874
78	1023430.553
79	1023682.819
80	3071858.339
81	52.623
82	104.18
83	117.527
84	115.263
85	5119563.819
86	1023986.448
87	3071919.748
88	2047935.964
89	2047964.185
90	53.546
91	2047842.015
92	3071997.915
93	60.362
94	80.856
95	133.178
96	88.296
97	58.412
98	36.091
99	1027490.372
100	2044030.627
101	134.772
102	130.474
103	133.85
104	125.049
105	115.087
106	62.824
107	75.281
108	51.724
109	1026952.462
110	31.353
111	27.402
112	1019941.823
113	58.202
114	65.604
115	53.807
116	30.88
117	32.018
118	29.56
119	2047692.825
120	67.048
121	62.018
122	1023854.471
123	1023931.469
124	60.977
125	76.135
126	3071929.887
127	140.936
128	3072014.45
129	1023679.46
130	1027885.215
131	4091949.931
132	64.284
133	3072151.116
134	246.015
135	224.956
136	3071432.067
137	244.641
138	226.164
139	1023463.696
140	243.153
141	227.106
142	228.54
143	226.935
144	1022698.195
145	1024058.515
146	147.214
147	136.407
148	137.422
149	1023376.528
150	72.257
151	1023922.772
152	1024018.211
153	3072065.971
154	211.346
155	1023748.55
156	246.069
157	225.577
158	237.109
159	223.824
160	223.102
161	129.542
162	92.633
163	88.744
164	87.064
165	86.574
166	2046224.386
167	2047842.925
168	187.961
169	1023765.412
170	241.775
171	3071604.269
172	1023927.303
173	189.796
174	1023730.689
175	240.507
176	1023611.666
177	231.997
178	2051547.058
179	146.442
180	3067722.24
181	87.221
182	75.001
183	74.554
184	73.868
185	60.345
186	2047594.701
187	160.195
188	148.939
189	154.024
190	148.594
191	2047363.251
192	179.285
193	157.415
194	159.263
195	155.798
196	1023373.005
197	213.88
198	206.548
199	202.497
200	202.053
201	2047001.867
202	2047820.582
203	3071999.561
204	225.036
205	138.724
206	1023568.86
207	240.803
208	191.445
209	214.828
210	5118946.312
211	107.189
212	1023994.546
213	192.162
214	3071696.008
215	4095961.809
216	168.788
217	153.606
218	1023713.73
219	1023901.032
220	2047865.495
221	249.047
222	228.83
223	227.984
224	228.665
225	224.055
226	185.014
227	95.629
228	87.701
229	1022340.159
230	243.133
231	233.942
232	232.633
233	146.451
234	2046880.371
235	177.408
236	171.136
237	2047643.421
238	258.433
239	1023651.521
240	1023963.034
241	240.898
242	231.737
243	1023316.088
244	2047786.049
245	1024037.014
246	1023652.428
247	1024147.705
248	1024011.484
249	1023907.263
250	1023904.937
251	212.052
252	1023550.431
253	165.366
254	169.964
255	159.857
256	159.54
257	132.698
258	1023205.61
259	194.602
260	2047509.003
261	1024210.506
262	1023788.006
263	1024052.649
264	1023954.593
265	238.418
266	228.729
267	229.105
268	229.236
269	2046884.755
270	248.405
271	1023678.736
272	250.66
273	237.651
274	236.834
275	2047102.174
276	232.949
277	2047645.619
278	2051889.547
279	272.545
280	237.932
281	237.089
282	235.115
283	1018871.008
284	195.925
285	1023765.769
286	230.549
287	1023657.052
288	2047883.763
289	3071815.333
290	191.761
291	1023836.174
292	240.687
293	231.686
294	235.877
295	231.055
296	232.483
297	2046587.745
298	233.413
299	1023757.068
300	238.758
301	231.066
302	1023192.171
303	88.197
304	116.596
305	82.132
306	88.608
307	88.228
308	2047577.786
309	130.604
310	151.438
311	149.345
312	150.649
313	3071230.586
314	98.162
