Packet Number	RTT time (usec)
482	89.23
483	96.546
484	125.759
485	88.588
486	2046003.018
487	1023941.342
488	235.31
489	1023653.077
490	232.278
491	222.045
492	223.102
493	222.786
494	185.12
495	3070708.911
496	224.741
497	1023720.837
498	2047869.272
499	1023957.418
500	1023915.591
501	240.397
502	229.521
503	227.868
504	228.895
505	1022619.957
506	47.448
507	106.039
508	126.219
509	5119712.599
510	1024129.301
511	1023886.818
512	242.386
513	1023608.221
514	213.481
515	1023705.816
516	232.629
517	1023619.934
518	193.319
519	192.662
520	1023582.592
521	227.137
522	224.951
523	218.301
524	219.268
525	221.448
526	188.292
527	94.827
528	1022478.948
529	243.719
530	227.477
531	228.51
532	2046871.465
533	87.653
534	94.262
535	100.366
536	1023872.25
537	3071845.693
538	212.317
539	223.102
540	224.56
541	178.664
542	175.097
543	2046864.325
544	1023923.018
545	241.089
546	232.133
547	231.481
548	224.535
549	225.262
550	194.381
551	98.246
552	1022369.709
553	221.664
554	248.961
555	1023409.208
556	185.776
557	167.699
558	227.171
559	1023315.4
560	239.089
561	223.268
562	222.942
563	224.154
564	222.811
565	1022588.144
566	2047972.872
567	2047789.855
568	1024061.527
569	225.307
570	222.957
571	1023400.036
572	256.679
573	1023648.353
574	2047855.217
575	231.736
576	2047666.61
577	245.603
578	235.756
579	2047414.385
580	246.741
581	227.658
582	231.22
583	2047168.803
584	240.031
585	222.801
586	222.014
587	2047135.369
588	240.697
589	222.4
590	1023499.203
591	242.898
592	225.042
593	227.732
594	226.264
595	226.299
596	187.54
597	95.344
598	88.268
599	87.766
600	86.944
601	86.353
602	86.589
603	1021853.288
604	226.956
605	226.324
606	228.179
607	225.813
608	127.382
609	90.532
610	1022791.93
611	1023914.284
612	2047860.607
613	257.045
614	233.25
615	233.982
616	239.615
617	239.003
618	201.954
619	2046446.652
620	247.392
621	2047600.807
622	1027943.793
623	221.017
624	175.357
625	174.716
626	1019313.779
627	245.608
628	200.896
629	207.476
630	185.436
631	131.487
632	114.357
633	84.254
634	1022671.034
635	156.745
636	204.269
637	198.831
638	195.784
639	1023110.97
640	158.439
641	2047638.556
642	190.674
643	213.212
644	204.608
645	204.405
646	162.974
647	117.585
648	87.107
649	80.406
650	1022655.59
651	237.129
652	228.088
653	197.478
654	191.099
655	98.336
656	118.477
657	118.582
658	88.173
659	1022565.06
660	1023940.741
661	219.889
662	194.792
663	3071418.771
664	222.525
665	163.49
666	229.051
667	203.903
668	193.749
669	1022743.947
670	159.076
671	153.285
672	1023725.601
673	217.97
674	222.41
675	204.579
676	220.631
677	206.86
678	128.626
679	103.302
680	1022487.144
681	2047940.663
682	245.563
683	200.696
684	211.385
685	193.223
686	121.143
687	1022887.832
688	224.661
689	215.439
690	1023442.855
691	153.818
692	213.3
693	225.968
694	181.647
695	129.492
696	95.514
697	1022857.184
698	226.74
699	215.148
700	219.659
701	208.048
702	194.953
703	97.148
704	103.698
705	96.381
706	95.94
707	1022360.057
708	242.862
709	199.007
710	224.56
711	202.094
712	192.456
713	96.552
714	120.13
715	88.649
716	1022231.839
717	1024198.086
718	245.107
719	232.353
720	198.36
721	1023156.778
722	1023946.12
723	244.18
724	233.049
725	190.712
726	102.991
727	117.625
728	170.616
729	1022752.688
730	203.978
731	1023688.49
732	243.313
733	201.773
734	218.762
735	1023134.333
736	1023971.58
737	2047885.953
738	213.169
739	1023692.366
740	3071884.726
741	250.64
742	185.541
743	107.362
744	117.074
745	122.18
746	108.249
747	1022997.521
748	222.826
749	219.739
750	1023408.402
751	243.79
752	1023542.83
753	248.195
754	224.655
755	190.712
756	100.361
757	1023217.493
758	1023892.221
759	213.886
760	182.309
761	213.41
762	2047246.293
763	241.845
764	2047628.262
765	1023958.186
766	243.925
767	202.676
768	2047412.86
769	257.51
770	198.54
771	161.56
772	3071116.446
773	1023976.11
774	208.834
775	217.158
776	1023522.29
777	1023897.092
778	231.325
779	224.901
780	226.58
781	227.176
782	1022963.217
783	243.459
784	236.106
785	221.583
786	222.882
787	221.113
788	1022706.659
789	230.153
790	229.181
791	231.917
792	144.571
793	108.368
794	113.525
795	106.018
796	97.654
797	100.545
798	82.494
799	86.884
800	88.207
801	88.307
802	86.454
803	1022019.752
804	1023919.254
805	236.052
806	1023627.815
807	243.71
808	237.365
809	1023420.835
810	227.387
811	226.399
812	1023434.57
813	256.298
814	240.482
815	1023373.717
816	238.347
817	228.705
818	1023265.551
819	1024102.479
820	2047885.246
821	191.249
822	244.647
823	2047419.226
824	245.128
825	228.534
826	228.66
827	230.65
828	188.658
829	1022731.782
830	241.84
831	228.715
832	2047389.855
833	2047903.457
834	3071897.646
835	3071882.131
836	237.319
837	248.881
838	1023434.122
839	233.702
840	1023697.568
841	239.509
842	242.576
843	239.154
844	145.635
845	109.271
846	107.055
847	110.168
848	1022793.421
849	192.813
850	199.713
851	2047289.102
852	1023930.253
853	2047790.473
854	186.227
855	160.924
856	128.896
857	1023564.129
858	245.599
859	231.351
860	2047164.554
861	2048087.354
862	252.414
863	1023683.202
864	210.875
865	208.451
866	1023501.845
867	255.25
868	239.891
869	227.988
870	1023110.417
871	251.788
872	232.178
873	227.011
874	1023176.38
875	226.605
876	222.135
877	226.59
878	1023173.37
879	230.038
880	1023662.04
881	252.85
882	1023649.78
883	1023911.297
884	241.008
885	233.936
886	229.727
887	227.367
888	1022715.39
889	106.562
890	94.92
891	57.959
892	43.78
893	42.822
894	38.631
895	34.676
896	2047687.34
897	1023951.748
898	1023923.121
899	234.428
900	225.312
901	220.261
902	1023154.69
903	239.86
904	1023721.326
905	1023855.109
906	233.676
907	1023681.751
908	241.444
909	227.427
910	224.114
911	220.681
912	185.2
913	1022726.806
914	1023890.902
915	1023818.767
916	1024066.016
917	238.181
918	244.917
919	233.611
920	233.11
921	149.338
922	100.425
923	1022647.821
924	1027897.359
925	222.616
926	222.526
927	223.011
928	226.034
929	125.839
930	194.562
931	126.991
932	95.053
933	87.977
934	119.138
935	1018130.754
936	223.608
937	218.356
938	219.102
939	219.098
940	219.714
941	1022747.061
942	1023920.074
943	1023757.219
944	140.377
945	157.647
946	145.134
947	136.686
948	1023486.783
949	1023910.809
950	1023905.743
951	245.579
952	224.039
953	225.552
954	229.326
955	1022954.483
956	241.549
957	2047601.59
958	239.579
959	236.101
960	1023431.262
961	234.052
962	235.976
963	1023423.963
964	242.832
965	2047561.944
966	1023909.952
967	257.857
968	1023656.609
969	231.827
970	234.643
971	234.408
972	230.694
973	222.015
974	128.901
975	1022577.018
976	243.033
977	245.127
978	1023137.67
979	36.991
980	57.198
981	70.416
982	2047969.515
983	228.199
984	221.162
985	231.19
986	1023197.877
987	211.095
988	173.188
989	168.707
990	126.545
991	137.405
992	170.867
993	216.025
994	1022601.592
995	1023936.864
996	239.615
997	1023642.218
998	233.04
999	225.688
