Packet Number	RTT time (usec)
0	52.583
1	83.028
2	112.423
3	60.035
4	61.343
5	1022599.243
6	1023901.034
7	167.099
8	218.487
9	232.839
10	1023121.291
11	131.058
12	105.514
13	119.566
14	82.194
15	78.466
16	56.312
17	54.886
18	60.345
19	55.227
20	83.102
21	58.034
22	48.817
23	53.17
24	53.151
25	1022873.332
26	191.586
27	163.827
28	176.873
29	132.192
30	79.736
31	71.393
32	1023103.282
33	210.734
34	217.253
35	198.355
36	167.685
37	94.497
38	109.135
39	1022692.501
40	132.151
41	161.374
42	1023605.969
43	137.928
44	122.442
45	120.705
46	122.251
47	103.916
48	54.861
49	47.329
50	53.698
51	44.407
52	44.201
53	43.671
54	44.347
55	44.056
56	43.632
57	43.342
58	43.725
59	43.497
60	1022818.707
61	160.816
62	149.052
63	124.81
64	123.533
65	95.396
66	64.715
67	58.441
68	65.033
69	64.057
70	62.834
71	60.192
72	59.998
73	59.557
74	60.164
75	59.761
76	60.335
77	1022439.677
78	119.702
79	94.884
80	88.722
81	87.519
82	35.777
83	23.346
84	30.123
85	21.975
86	21.743
87	21.759
88	21.731
89	21.62
90	21.655
91	21.566
92	1023273.786
93	104.605
94	106.36
95	76.939
96	1023683.058
97	1023980.397
98	86.039
99	199.088
100	105.067
101	91.517
102	61.757
103	42.085
104	41.257
105	48.837
106	42.394
107	41.762
108	40.971
109	40.522
110	40.958
111	40.582
112	40.502
113	40.727
114	1022948.966
115	142.238
116	124.715
117	122.38
118	117.965
119	80.391
120	53.921
121	63.563
122	1023062.926
123	1024091.894
124	178.65
125	157.065
126	137.575
127	85.821
128	125.152
129	156.86
130	85.343
131	76.796
132	75.553
133	70.433
134	69.323
135	2046524.652
136	121.189
137	135.296
138	1023895.888
139	235.546
140	205.111
141	218.266
142	184.268
143	105.703
144	1022910.459
145	239.946
146	200.405
147	224.655
148	191.124
149	101.598
150	116.231
151	1022613.608
152	117.972
153	152.514
154	122.664
155	90.663
156	61.306
157	61.925
158	60.631
159	64.846
160	54.854
161	54.459
162	54.016
163	53.534
164	53.771
165	53.758
166	53.548
167	53.578
168	53.445
169	53.314
170	53.537
171	53.798
172	53.418
173	53.603
174	53.357
175	53.83
176	53.469
177	53.29
178	53.159
179	53.185
180	53.365
181	52.933
182	53.606
183	53.102
184	53.657
185	1021938.877
186	248.075
187	236.388
188	196.255
189	168.632
190	102.666
191	159.882
192	126.536
193	98.862
194	1022481.964
195	238.157
196	196.391
197	216.692
198	2047051.11
199	107.104
200	96.949
201	113.803
202	91.795
203	51.432
204	55.98
205	1023573.022
206	242.246
207	237.891
208	199.117
