 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 2286 ns
Time to marshall string: 0 s 2227 ns
Time to marshall string: 0 s 940 ns
Time to marshall string: 0 s 1078 ns
Time to marshall string: 0 s 915 ns
Time to marshall string: 0 s 1149 ns
Time to marshall string: 0 s 981 ns
Time to marshall string: 0 s 1197 ns
Time to marshall string: 0 s 1071 ns
Time to marshall string: 0 s 1045 ns
Time to marshall string: 0 s 963 ns
Time to marshall string: 0 s 1071 ns
Time to marshall string: 0 s 811 ns
Time to marshall string: 0 s 1118 ns
Time to marshall string: 0 s 776 ns
Time to marshall string: 0 s 1010 ns
Time to marshall string: 0 s 771 ns
Time to marshall string: 0 s 2024 ns
Time to marshall string: 0 s 1103 ns
Time to marshall string: 0 s 1015 ns
Time to marshall string: 0 s 1015 ns
Time to marshall string: 0 s 993 ns
Time to marshall string: 0 s 908 ns
Time to marshall string: 0 s 1164 ns
Time to marshall string: 0 s 864 ns
Time to marshall string: 0 s 1089 ns
Time to marshall string: 0 s 1114 ns
Time to marshall string: 0 s 897 ns
Time to marshall string: 0 s 1057 ns
Time to marshall string: 0 s 917 ns
Time to marshall string: 0 s 1144 ns
Time to marshall string: 0 s 844 ns
Time to marshall string: 0 s 2111 ns
Time to marshall string: 0 s 1085 ns
Time to marshall string: 0 s 1101 ns
Time to marshall string: 0 s 941 ns
Time to marshall string: 0 s 907 ns
Time to marshall string: 0 s 819 ns
Time to marshall string: 0 s 931 ns
Time to marshall string: 0 s 816 ns
Time to marshall string: 0 s 1026 ns
Time to marshall string: 0 s 795 ns
Time to marshall string: 0 s 748 ns
Time to marshall string: 0 s 1155 ns
Time to marshall string: 0 s 1130 ns
Time to marshall string: 0 s 922 ns
Time to marshall string: 0 s 1026 ns
Time to marshall string: 0 s 864 ns
Time to marshall string: 0 s 862 ns
Time to marshall string: 0 s 802 ns
Time to marshall string: 0 s 1083 ns
Time to marshall string: 0 s 905 ns
Time to marshall string: 0 s 1064 ns
Time to marshall string: 0 s 836 ns
Time to marshall string: 0 s 1157 ns
Time to marshall string: 0 s 811 ns
Time to marshall string: 0 s 937 ns
Time to marshall string: 0 s 821 ns
Time to marshall string: 0 s 1086 ns
Time to marshall string: 0 s 752 ns
Time to marshall string: 0 s 1027 ns
Time to marshall string: 0 s 739 ns
Time to marshall string: 0 s 1000 ns
Time to marshall string: 0 s 747 ns
Time to marshall string: 0 s 1081 ns
Time to marshall string: 0 s 839 ns
Time to marshall string: 0 s 1163 ns
Time to marshall string: 0 s 835 ns
Time to marshall string: 0 s 1024 ns
Time to marshall string: 0 s 1073 ns
Time to marshall string: 0 s 1091 ns
Time to marshall string: 0 s 865 ns
Time to marshall string: 0 s 1165 ns
Time to marshall string: 0 s 931 ns
Time to marshall string: 0 s 1586 ns
Time to marshall string: 0 s 979 ns
Time to marshall string: 0 s 992 ns
Time to marshall string: 0 s 880 ns
Time to marshall string: 0 s 963 ns
Time to marshall string: 0 s 872 ns
Time to marshall string: 0 s 1004 ns
Time to marshall string: 0 s 761 ns
Time to marshall string: 0 s 1039 ns
Time to marshall string: 0 s 833 ns
Time to marshall string: 0 s 1037 ns
Time to marshall string: 0 s 738 ns
Time to marshall string: 0 s 1042 ns
Time to marshall string: 0 s 871 ns
Time to marshall string: 0 s 1473 ns
Time to marshall string: 0 s 1039 ns
Time to marshall string: 0 s 1105 ns
Time to marshall string: 0 s 882 ns
Time to marshall string: 0 s 1386 ns
Time to marshall string: 0 s 1012 ns
Time to marshall string: 0 s 1064 ns
Time to marshall string: 0 s 813 ns
Time to marshall string: 0 s 1161 ns
Time to marshall string: 0 s 974 ns
Time to marshall string: 0 s 1161 ns
Time to marshall string: 0 s 943 ns
