Packet Size (bytes)	Avgerage Round Trip time (usec)	Average Overhead Time(usec)	Avg bandwidth (Mbps)
4	70.002162	5.367325	0.057141
8	65.075273	4.381026	0.122935
512	73.220196	2.569963	6.992606
1024	101.680478	6.873197	10.070763
1400	105.049295	3.508279	13.327077
1600	124.364558	7.490069	12.865402
2048	134.097227	6.706482	15.272501
4096	151.83208	11.552407	26.977171
8192	395.70407	18.036128	20.70234
16384	281.945175	21.126086	58.110588
32768	499.877947	50.398016	65.552002
45000	587.015467	49.940654	76.658968
60000	970.22393	76.787394	61.841394
65000	797.969606	69.521247	81.456737
