 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 4106 ns
Time to marshall string: 0 s 4367 ns
Time to marshall string: 0 s 3586 ns
Time to marshall string: 0 s 3678 ns
Time to marshall string: 0 s 4300 ns
Time to marshall string: 0 s 4088 ns
Time to marshall string: 0 s 4024 ns
Time to marshall string: 0 s 3919 ns
Time to marshall string: 0 s 4130 ns
Time to marshall string: 0 s 4388 ns
Time to marshall string: 0 s 4118 ns
Time to marshall string: 0 s 4300 ns
Time to marshall string: 0 s 3935 ns
Time to marshall string: 0 s 3715 ns
Time to marshall string: 0 s 4679 ns
Time to marshall string: 0 s 3693 ns
Time to marshall string: 0 s 4133 ns
Time to marshall string: 0 s 3763 ns
Time to marshall string: 0 s 3504 ns
Time to marshall string: 0 s 3200 ns
Time to marshall string: 0 s 2773 ns
Time to marshall string: 0 s 3118 ns
Time to marshall string: 0 s 3054 ns
Time to marshall string: 0 s 3015 ns
Time to marshall string: 0 s 3353 ns
Time to marshall string: 0 s 3260 ns
Time to marshall string: 0 s 3503 ns
Time to marshall string: 0 s 3519 ns
Time to marshall string: 0 s 2733 ns
Time to marshall string: 0 s 2907 ns
Time to marshall string: 0 s 3352 ns
Time to marshall string: 0 s 2806 ns
Time to marshall string: 0 s 2711 ns
Time to marshall string: 0 s 2923 ns
Time to marshall string: 0 s 3258 ns
 *** TESTING STRING OF LEN = 2048 *** 
Time to marshall string: 0 s 3096 ns
Time to marshall string: 0 s 3036 ns
Time to marshall string: 0 s 3120 ns
Time to marshall string: 0 s 2664 ns
Time to marshall string: 0 s 2725 ns
Time to marshall string: 0 s 2983 ns
Time to marshall string: 0 s 2909 ns
Time to marshall string: 0 s 2830 ns
Time to marshall string: 0 s 3804 ns
Time to marshall string: 0 s 2973 ns
Time to marshall string: 0 s 3002 ns
Time to marshall string: 0 s 3840 ns
Time to marshall string: 0 s 2692 ns
Time to marshall string: 0 s 2982 ns
Time to marshall string: 0 s 2842 ns
Time to marshall string: 0 s 2813 ns
Time to marshall string: 0 s 2595 ns
Time to marshall string: 0 s 3291 ns
Time to marshall string: 0 s 2871 ns
Time to marshall string: 0 s 3029 ns
Time to marshall string: 0 s 41186 ns
Time to marshall string: 0 s 3073 ns
Time to marshall string: 0 s 2823 ns
Time to marshall string: 0 s 3392 ns
Time to marshall string: 0 s 3072 ns
Time to marshall string: 0 s 23087 ns
Time to marshall string: 0 s 2767 ns
Time to marshall string: 0 s 2950 ns
Time to marshall string: 0 s 2484 ns
Time to marshall string: 0 s 2986 ns
Time to marshall string: 0 s 3137 ns
Time to marshall string: 0 s 2857 ns
Time to marshall string: 0 s 2921 ns
Time to marshall string: 0 s 2989 ns
Time to marshall string: 0 s 2837 ns
Time to marshall string: 0 s 2752 ns
Time to marshall string: 0 s 2985 ns
Time to marshall string: 0 s 2514 ns
Time to marshall string: 0 s 3203 ns
Time to marshall string: 0 s 2925 ns
Time to marshall string: 0 s 5703 ns
Time to marshall string: 0 s 2730 ns
Time to marshall string: 0 s 2795 ns
Time to marshall string: 0 s 2700 ns
Time to marshall string: 0 s 2971 ns
