 *** TESTING STRING OF LEN = 512 *** 
Time to marshall string: 0 s 3367 ns
Time to marshall string: 0 s 2861 ns
Time to marshall string: 0 s 3133 ns
Time to marshall string: 0 s 3087 ns
Time to marshall string: 0 s 2668 ns
Time to marshall string: 0 s 3070 ns
Time to marshall string: 0 s 2774 ns
Time to marshall string: 0 s 3925 ns
Time to marshall string: 0 s 2797 ns
Time to marshall string: 0 s 2766 ns
Time to marshall string: 0 s 2652 ns
Time to marshall string: 0 s 2969 ns
Time to marshall string: 0 s 3211 ns
Time to marshall string: 0 s 3352 ns
Time to marshall string: 0 s 3114 ns
Time to marshall string: 0 s 2947 ns
Time to marshall string: 0 s 2940 ns
Time to marshall string: 0 s 2757 ns
Time to marshall string: 0 s 3058 ns
Time to marshall string: 0 s 2914 ns
Time to marshall string: 0 s 3164 ns
Time to marshall string: 0 s 2958 ns
Time to marshall string: 0 s 2814 ns
Time to marshall string: 0 s 3309 ns
Time to marshall string: 0 s 3370 ns
Time to marshall string: 0 s 2740 ns
Time to marshall string: 0 s 3053 ns
Time to marshall string: 0 s 2754 ns
Time to marshall string: 0 s 2782 ns
Time to marshall string: 0 s 2646 ns
Time to marshall string: 0 s 2877 ns
Time to marshall string: 0 s 3062 ns
Time to marshall string: 0 s 2678 ns
Time to marshall string: 0 s 2952 ns
Time to marshall string: 0 s 3164 ns
Time to marshall string: 0 s 3189 ns
Time to marshall string: 0 s 2718 ns
Time to marshall string: 0 s 3268 ns
Time to marshall string: 0 s 2891 ns
Time to marshall string: 0 s 3470 ns
Time to marshall string: 0 s 2884 ns
Time to marshall string: 0 s 3262 ns
Time to marshall string: 0 s 3868 ns
Time to marshall string: 0 s 2676 ns
Time to marshall string: 0 s 3661 ns
Time to marshall string: 0 s 2760 ns
Time to marshall string: 0 s 2721 ns
Time to marshall string: 0 s 2832 ns
Time to marshall string: 0 s 3363 ns
Time to marshall string: 0 s 2719 ns
Time to marshall string: 0 s 2800 ns
Time to marshall string: 0 s 2819 ns
Time to marshall string: 0 s 2767 ns
Time to marshall string: 0 s 2679 ns
Time to marshall string: 0 s 2627 ns
Time to marshall string: 0 s 2692 ns
Time to marshall string: 0 s 2723 ns
Time to marshall string: 0 s 2676 ns
Time to marshall string: 0 s 2920 ns
Time to marshall string: 0 s 2720 ns
Time to marshall string: 0 s 3219 ns
Time to marshall string: 0 s 2827 ns
Time to marshall string: 0 s 3855 ns
Time to marshall string: 0 s 3852 ns
Time to marshall string: 0 s 4252 ns
Time to marshall string: 0 s 3665 ns
Time to marshall string: 0 s 3763 ns
Time to marshall string: 0 s 3532 ns
Time to marshall string: 0 s 3666 ns
Time to marshall string: 0 s 3742 ns
Time to marshall string: 0 s 3740 ns
Time to marshall string: 0 s 3846 ns
Time to marshall string: 0 s 3656 ns
Time to marshall string: 0 s 3790 ns
Time to marshall string: 0 s 3560 ns
Time to marshall string: 0 s 3969 ns
Time to marshall string: 0 s 3492 ns
Time to marshall string: 0 s 3720 ns
Time to marshall string: 0 s 3752 ns
Time to marshall string: 0 s 3780 ns
Time to marshall string: 0 s 3359 ns
Time to marshall string: 0 s 3148 ns
Time to marshall string: 0 s 2872 ns
Time to marshall string: 0 s 2625 ns
Time to marshall string: 0 s 2777 ns
Time to marshall string: 0 s 2878 ns
Time to marshall string: 0 s 2645 ns
Time to marshall string: 0 s 3549 ns
Time to marshall string: 0 s 2858 ns
Time to marshall string: 0 s 2728 ns
Time to marshall string: 0 s 3446 ns
Time to marshall string: 0 s 2572 ns
Time to marshall string: 0 s 2677 ns
Time to marshall string: 0 s 2772 ns
Time to marshall string: 0 s 2738 ns
Time to marshall string: 0 s 2732 ns
Time to marshall string: 0 s 2597 ns
Time to marshall string: 0 s 2679 ns
Time to marshall string: 0 s 3632 ns
Time to marshall string: 0 s 3747 ns
 *** TESTING STRING OF LEN = 1024 *** 
Time to marshall string: 0 s 4234 ns
Time to marshall string: 0 s 3943 ns
Time to marshall string: 0 s 4274 ns
Time to marshall string: 0 s 3986 ns
Time to marshall string: 0 s 4375 ns
Time to marshall string: 0 s 4478 ns
Time to marshall string: 0 s 4297 ns
Time to marshall string: 0 s 4745 ns
Time to marshall string: 0 s 5048 ns
Time to marshall string: 0 s 4312 ns
Time to marshall string: 0 s 4553 ns
Time to marshall string: 0 s 4385 ns
Time to marshall string: 0 s 4445 ns
Time to marshall string: 0 s 4170 ns
Time to marshall string: 0 s 4610 ns
Time to marshall string: 0 s 3921 ns
Time to marshall string: 0 s 3975 ns
Time to marshall string: 0 s 4361 ns
Time to marshall string: 0 s 3992 ns
Time to marshall string: 0 s 3132 ns
Time to marshall string: 0 s 3591 ns
Time to marshall string: 0 s 3560 ns
Time to marshall string: 0 s 4027 ns
Time to marshall string: 0 s 3307 ns
Time to marshall string: 0 s 3512 ns
Time to marshall string: 0 s 3495 ns
Time to marshall string: 0 s 3656 ns
Time to marshall string: 0 s 3325 ns
Time to marshall string: 0 s 3647 ns
Time to marshall string: 0 s 4127 ns
Time to marshall string: 0 s 4407 ns
Time to marshall string: 0 s 4347 ns
Time to marshall string: 0 s 3521 ns
Time to marshall string: 0 s 3151 ns
Time to marshall string: 0 s 4205 ns
Time to marshall string: 0 s 4382 ns
Time to marshall string: 0 s 4498 ns
Time to marshall string: 0 s 3812 ns
Time to marshall string: 0 s 4482 ns
Time to marshall string: 0 s 4512 ns
Time to marshall string: 0 s 4380 ns
Time to marshall string: 0 s 4135 ns
Time to marshall string: 0 s 6573 ns
Time to marshall string: 0 s 4543 ns
Time to marshall string: 0 s 4122 ns
Time to marshall string: 0 s 4770 ns
Time to marshall string: 0 s 4007 ns
Time to marshall string: 0 s 4496 ns
Time to marshall string: 0 s 4582 ns
Time to marshall string: 0 s 4705 ns
Time to marshall string: 0 s 4055 ns
Time to marshall string: 0 s 4556 ns
Time to marshall string: 0 s 4626 ns
Time to marshall string: 0 s 4204 ns
Time to marshall string: 0 s 4250 ns
Time to marshall string: 0 s 4551 ns
Time to marshall string: 0 s 4239 ns
Time to marshall string: 0 s 4601 ns
Time to marshall string: 0 s 4403 ns
Time to marshall string: 0 s 79087 ns
Time to marshall string: 0 s 4215 ns
Time to marshall string: 0 s 4030 ns
Time to marshall string: 0 s 3934 ns
Time to marshall string: 0 s 4332 ns
Time to marshall string: 0 s 4154 ns
Time to marshall string: 0 s 4270 ns
Time to marshall string: 0 s 3931 ns
Time to marshall string: 0 s 3868 ns
Time to marshall string: 0 s 4149 ns
Time to marshall string: 0 s 4604 ns
Time to marshall string: 0 s 3852 ns
Time to marshall string: 0 s 3742 ns
Time to marshall string: 0 s 3545 ns
Time to marshall string: 0 s 3339 ns
Time to marshall string: 0 s 3625 ns
Time to marshall string: 0 s 3335 ns
Time to marshall string: 0 s 3666 ns
Time to marshall string: 0 s 4083 ns
Time to marshall string: 0 s 3625 ns
Time to marshall string: 0 s 3366 ns
Time to marshall string: 0 s 3612 ns
Time to marshall string: 0 s 3677 ns
Time to marshall string: 0 s 3546 ns
Time to marshall string: 0 s 3481 ns
Time to marshall string: 0 s 4105 ns
Time to marshall string: 0 s 3658 ns
Time to marshall string: 0 s 3457 ns
Time to marshall string: 0 s 3277 ns
Time to marshall string: 0 s 3387 ns
Time to marshall string: 0 s 4563 ns
Time to marshall string: 0 s 4268 ns
Time to marshall string: 0 s 4293 ns
Time to marshall string: 0 s 4041 ns
Time to marshall string: 0 s 4051 ns
Time to marshall string: 0 s 4354 ns
Time to marshall string: 0 s 4869 ns
Time to marshall string: 0 s 4221 ns
Time to marshall string: 0 s 4802 ns
Time to marshall string: 0 s 4102 ns
Time to marshall string: 0 s 4204 ns
 *** TESTING STRING OF LEN = 2048 *** 
Time to marshall string: 0 s 6003 ns
Time to marshall string: 0 s 4466 ns
Time to marshall string: 0 s 4289 ns
Time to marshall string: 0 s 4714 ns
Time to marshall string: 0 s 4258 ns
Time to marshall string: 0 s 5120 ns
Time to marshall string: 0 s 4450 ns
Time to marshall string: 0 s 4714 ns
Time to marshall string: 0 s 4522 ns
Time to marshall string: 0 s 4613 ns
Time to marshall string: 0 s 5439 ns
